Firma,Besøksadresse,P.nr,Sted,Postadresse,P.nr,Poststed,Telefon,Kontaktperson 1,Mobil 1,Epost 1,Åpningstider
Bilplaneten as - Nesbyen,Rukkedalen,3540,Nesbyen,,3540,Nesbyen,32 07 25 00,Ståle Fyen,97 08 88 88,staale@bilplaneten.no,man-fre 08:00 - 16:00
Bilplaneten as - Ål,Sundrevegen 170,3570,Ål,,3570,Ål,32 08 64 00,Stian Eriksen,95 75 51 08,stian@bilplaneten.no,man-fre 08:00 - 16:00
Bilreparatørene AS,Ravnåsveien 8,4848,Arendal,,4848,Arendal,37 02 88 98,Gunnar Kringlemoen,917 34 316 ,bilreparatorene@yahoo.no,man-fre 08:00 - 16:00
Bilsenteret Fossegrenda AS,Fossegrenda 34,7038,Trondheim,,7038,Trondheim,73 96 55 00,Ståle Langørgen,93 42 96 78,bilsenteret@ventelo.net ,man-fre 07:30 - 15:30
Bilsenteret Heimdal A/S,Lundemobakken 5B,7072,Heimdal,,7072,Heimdal,72 89 50 10,Ståle Langørgen,93 42 96 78,bilsenteret@ventelo.net,man-fre 07:30 - 15:30
Bilsenteret r2 as,Herbergåsen ,2166,Oppaker,,2166,Oppaker,63 90 11 11,Erik Granum,93 00 86 79,verksted@bilsenteretr2.no,man-fre 07:30 - 16:00
Bilsenteret Stavanger AS,Hillevågsveien 103,4016,Stavanger,"Postboks 1102, Hillevåg",4095,Stavanger,51 90 64 07,Arild Haarr,90 91 37 52,verksted@bilsenteret-stavanger.no,man-tor 07:00 - 16:00 fre 15:30
Bilservice Egersund AS,Kvellurveien 1A,4370,Egersund,,4370,Egersund,48 00 80 00,Johnny Brekke,40 40 84 61,johnny@bilegersund.no,man-fre 07:00 - 16:00
Bilservice Vest AS,Idrettsveien 128,5353,Straume,Postboks 323,5353,Straume,56 33 15 30,Vidar Arefjord,,post@bilservicevest.no,man-fre 07:30 - 16:00
Bil-Spesialisten as,Skulevegen,6220,Straumgjerde,,6220,Straumgjerde,70 25 05 80,Trygve Salamon Aas,95 18 71 14,bilspesialisten@xi.no,man-fre 08:00 - 16:30
Bilteknikk AS,Monstadveien 33A,7170,Åfjord,,7170,Åfjord,72 53 10 88,Frank Forfot,,post@bil-teknikk.no,man-fre 07:30 - 15:30
Bilverksted AS,Ravnangervegen 187a,5300,Kleppestø,,5300,Kleppestø,0,Ola Espeseth ,924 99 699,ola@spzbil.no,man-fre 07:30 - 16:00
Bilverkstedet Kristiansand AS,Barstølv. 13,4636,Kristiansand,,4636,Kristiansand,38 09 31 50,Tor Kultorp,90 95 26 89,Tkultorp@online.no,man-fre 08:00 - 16:00
Bjørdal Bil AS,Langemyra 4,6160,Hovdebygda,Postboks 141,6151,Ørsta,70 04 76 70,Arne Moe,,arne.moe@bjordalbil.no,man-fre 08:00 - 16:00
Blom Servicesenter AS,,5337,Rong,Postboks 14,5331,Rong,56 38 72 80,Ivar Atle Blom,90 95 80 44,bssas@online.no,man-fre 08:00 - 16:00
Bogen AS,Uno YX-stasjonen,7982,Bindalseidet,,,,75 03 16 33,John Bogen,99 59 22 90,meca@bogen-as.no,man-fre 08:00 - 16:00
Brabil as,Strandgata 62,6270,Brattvåg,,6270,Brattvåg,70 20 80 20,Ivar Holsvik,98 46 90 02,ivar@brabil.no,man-fre 08:00 - 16:00
Brd. Ellefsens Eftf A/S,Kranvn. 58B ,4950,Risør ,Postboks 161,4952,Risør ,37 15 10 88,Inge Lokander,93 02 13 35,inge@ellefsens.no,man-tor 07:30 - 16:00  fre 07:00 - 13:00 
Bremnes Auto AS,Svortlandsvegen 51,5430,Bremnes,,5430,Bremnes,53 44 84 40,Kjetil Innvær,91 74 71 04,post@bremnesauto.no,man-fre 07:00 - 15:00
Brødrene Smedstuen A/S,Våler i Solør,2436,Våler,,2436,Våler,62 42 99 99,Jan Smedstuen,90 01 29 01,verksted@br-smedstuen.no,Man-fre 07:00 - 21:30 
Bujordet Mekk,Løvjomås,4820,Froland,,,,37 03 71 10,Otto Bujordet,90 59 18 17,ottomekk@online.no,man-fre 07:00 - 16:00
Buskerud Bilverksted as,Industrivegen 2,3300,Hokksund,,3300,Hokksund,32 75 90 90,Kjartan Nave,48 32 05 30, post@multiparts.no,man-fre 08:00 - 16:00 
Byåsen Bilverksted AS,Selsbakkvn 36 A,7027,Trondheim,"Postboks 3368, Hallset",7427,Trondheim,72 56 18 10,John Myrhe,95 91 52 60,post@byaasenbilverksted.no,man-fre 07:30 - 16:00
Bømlo Bil AS,Hovlandsveien 151,5443,Bømlo,,5443,Bømlo,53 42 41 32,Nils Peder Holme,47 28 45 29,post@bomlobil.no,man-fre 07:30 - 16:30
Central Auto AS,Meierigata 1,3300,Hokksund,Postboks 199,3300,Hokksund,32 75 39 40,Jarle Selte Rasmussen,48 02 60 30,central@centralauto.no ,man-fre 07.30 - 16:00
Dirk's Autowerkstatt AS,Lagervegen 5,2619,Lillehammer,,,,40 14 29 22,Dirk Lemek,95 96 10 46,dirksautowerkstatt@gmail.com,man-fre 07:30 - 15:30
Drøbak Bilrep Carozzeria Alfa as,Holterkollv 7,1440,Drøbak,,1440,Drøbak,64 93 14 94,Tom Ole Skorpen,,post@carrozzeria-alfa.no,man-fre 07:00 - 17:00
Dueland Bilservice,Fredrikke Nielsens veg 6,5519,Haugesund,,5535,Haugesund,52 72 20 11,Geir T. Dueland,90 50 76 13,post@dueland-bilservice.no,man-fre 08:00 - 16:00
Eide Bensinstasjon a/s,Eidsvik,5455,Halsnøy Kloster,,5455,Halsnøy Kloster,53 47 66 50,Lars Martin Eide,,eides.bensinstasjon@knett.no,man-fre 08:00 - 16:30
Eidsdal Auto AS,Skuset,6215,Eidsdal,,6215,Eidsdal,70 25 97 50,Karl Martin Rønneberg,92 41 75 74,,man-fre 08:00 - 17:00
Eidsvåg Auto AS,Eidsvågsbakken 21,5105,Eidsvåg ,Postboks 54 Eidsvåg,5876,Bergen,55 25 10 20,Svein Gunnar Raknes,91 58 76 74,svein.raknes@eidsvaagauto.no,man-tor 07:15 - 16:00
Elite Bil as,Storgata 79,2830,Raufoss,,2830,Raufoss,61 19 19 30,Lars Engelund,47 70 42 42,lars.engelund@elitebil.no,man-fre 09:00 - 17:00 lør 10:00 - 14:00
Elverum Bil & Dekk A/S,Mart'n Senteret,2408,Elverum,Torggt 3,2408,Elverum,62 41 90 50,Rune Sagen,90 06 16 91,postmaster@elverumbil.no,man-fre 08:00 - 16:00
ER-AN Bilverksted,Byveien 920,5212,Søfteland,,5212,Søfteland,56 30 71 60,Dag Andersen,91 84 53 45,eranbil@start.no,man-fre 08:00 - 16:00
Figgjo Auto Service,Figgenveien 34,4332,Figgjo,,4332,Figgjo,51 66 33 22,Semsad Rakovic,93 04 92 58,post@figgjo-autoservice.no,man-fre 07:30 - 16:00
First Cars as,Kartverksveien 11,3511,Hønefoss,,,,31 09 30 60,Martin Hamborg,92 85 93 58,martin@firstcars.no,man-fre 07:30 - 16:30
Flatanger Motor AS,Strolavika ,7770,Flatanger,,,,74 28 97 45,Jan Kvalsæter,46 41 57 08,soeraa@flatangermotor.no,man-fre 07:30-15:30
Follebu Bil as,Volden 11,2656,Follebu,,2656,Follebu,61 22 95 68,Arnt Flutuen,95 07 76 41,post@follebubil.no,man-fre 08:00 - 16:00
Formo Service AS,Porsgrunnsveien 261,3736,Skien,,3726,Skien,35 90 08 90,Brian Formo,90 15 06 01,brianf@formo.no,man-fre 07:30 - 16:00
Fortun Bensinstasjon A/S,Fortun,6877,Fortun,,6877,Fortun,57 68 61 57,Terje Weka,,fo-bas@online.no,man-fre 08:00 - 16:00
Frøya Auto as ,Nabeita,7263,Hamarvik,,7263,Hamarvik,72 44 88 60,Thomas Vatn,91 82 14 65,Froe-a@online.no,man-fre 08:00 - 16:00
Full Rulle Bilverksted as,Waldemar Thranesgt 84C,0.0175,Oslo,,0,Oslo,22 37 31 00,Erdogan Ileri ,48 06 36 39,fullrullebil@gmail.com,man-fre 09:00 - 17:00
Furene Bil as,Furene 36,6100,Volda,,6100,Volda,70 05 01 52,Jens Hafsteinn Ingvarsson,97 58 44 02,jens@fur-bil.no,man-fre 08:00 - 16:30
Fusa Auto AS,,5641,Fusa,,5641,Fusa,56 58 22 86,Petter Sagstad,90 67 30 86,fusaauto@online.no,man-fre 07:30 - 16:00
GB-Auto AS,Kammerfossveien 10,3770,Kragerø,,3770,Kragerø,35 69 40 70,Gani Bytygi,41 75 15 84,Gb-auto@live.no,man-fre 07:00 - 17:00 lør 10:00 - 14:00
Gjermundsen Auto as,Valløveien 2,3105,Tønsberg,Postboks 1255 Trudvang,3105,Tønsberg,33 35 34 33,Gunnar Gjermundsen,90 62 66 60,gunnar.gjermundsen@gjermundsenauto.no,man-fre 07:30 - 16:00
Gjermundsen Auto Larvik as,Bommestad,3255,Larvik,Postboks 2058 Stubberød,3255,Larvik,33 11 40 44,Vidar Ravnås,92 45 38 30,vidar@gjermundsenauto.no,man-fre 07:30 - 16:00
Gjermundsen Bilsenter as,Gjekstadveien 2,3218,Sandefjord,,3218,Sandefjord,33 45 43 30,Tim Gjermundsen,92 20 05 65,tim.gjermundsen@gjermundsenbil.no,man-fre 07:30 - 16:00
Gol Auto as,Husøynvegen 11,3550,Gol,,,,32 07 36 33,Håkon Bøygaard,91 37 55 00,hb@golauto.no,man-fre 08:00 - 16:00
Grua Auto as,Hadelandsveien 1469,2742,Grua,,2742,Grua,61 32 49 00,Peder Tuff,91 38 23 60,peder@grua-auto.no,man-fre 07:30 - 16:00
GS Bildeler as - Bud,Sentrum,6430,Bud,,6430,Bud,71 26 67 73,Torvald Jegthaug,,verksted@gsbildeler.no,man-fre 08:00 - 16:00
GT Bil AS,Galdetoppen,6869,Hafslo,,6869,Hafslo,57 68 16 88,Kjell Ruud,,kjell@gtbilas.no,man-fre 07:30 - 16:00
Haaland Bilverksted as,Opstadveien 647,4360,Varhaug,,4360,Varhaug,90 50 65 66,Tarald Haaland,90 50 65 66,taraldh@hotmail.com,man-fre 07:00 - 16:00
Hafjell Bilservice,Strømshuguvegen 3,2636,Øyer ,,2636,Øyer ,61 27 78 01,Monica Hagen,90 12 58 66,post@hafjell-bilservice.no,man-fre 07:00 - 16:00
Hagen Bilservice AS,Industrivegen 40,2680,Vågå,,2680,Vågå,61 23 79 50,Jørgen Johs. Hagen,91 66 00 17,jorgen@hagenbilservice.no,man-fre 08:00 - 16:00
Haraldsen Auto A/S,Storgt. 54,2870,Dokka,,2870,Dokka,61 11 33 40,Roger Haugen,99 23 62 76,roger@haraldsenauto.no,man-fre 07:30 - 15:30
Hardanger Bil AS,Sjusetevegen 4,5604,Øystese,Postboks 83,5604,Øystese,56 55 56 05,Sigurd Langeland,90 78 40 04,silangel@online.no,man-fre 07:30 - 15:30
Haugen Motor AS,Grodås,6763,Hornindal,,6763,Hornindal,57 87 95 00,Roger Haugen ,90 10 03 09,post@haugen-motor.no,man-fre 08:00 - 16:00
Haugsland Bilverksted as,Maskinveien 20,4033,Stavanger,,4033,Stavanger,47 61 77 77,Svein Raugstad,48 21 21 27,sr@haugsland.no,man-fre 07:00 - 15:00
Haugsvær Auto AS,Sognevegen 2222,5983,Haugsvær,,5983,Haugsvær,56 36 62 23,Jon Steinar Haugsvær,41 41 55 16,haugsver.auto@nettstar.as,man-fre 08:00 - 16:00
Haukås Bilverksted AS,Tittelsnes veien 595,5550,Sveio,,5550,Sveio,53 74 25 51,Øystein Kinn,92 65 42 15,hb-as@online.no,man-fre 07:30 - 15:30
Helleland Bil og Landbruk as,Sirdalsveien 42,4376,Helleland,,4376,Helleland,51 46 60 40,Bjørn Kvinen,90 78 92 27,hbl@hellelandbil.no,man-fre 08:00 - 16:00
Hesby Auto,,4160,Finnøy,,4160,Finnøy,51 71 45 45,Andreas Hesby,90 87 57 70,hesby.auto@hesbynett.no,man-fre 08:00 - 16:00
His Bilverksted AS,Kirkeveien 183,4817,His,,,,37 01 22 72,Jan Håkon Fredrikson,91 37 45 62,hisbil@online.no,man-fre 08:00 - 16:00
Hjelme Bilservice AS,Kalvøyvegen 24 ,6014,Ålesund,,6014,Ålesund,70 14 55 44,Per Ove Hjelme,48 25 18 80,perove@hjelmebil.no,man-fre 08:00 - 16:00
Holt Auto as,Øverbygd,9334,Øverbygd,,9334,Øverbygd,77 83 86 43,Per Inge Aspenes,90 17 00 24,peraspenes@gmail.com,man-tor 07:30 - 16:00 fre 13:30
Høyendal Bilservice AS,Vangveien 10 B,1814,Askim,,,,69 88 18 21,Karzan Piran,95 80 78 90,kara@carwax1.no,man-fre 07:30 - 16:00
Husnes Motor A/S,Onarheimslio 204,5460,Husnes,,5460,Husnes,53 47 15 11,Øystein Ynnesdal,,oystein.ynnesdal@husnes-motor.no,man-fre 07:30 - 15:30
Høyland Auto A/S,Høylandsvegen 335,5913,Eikangervåg,,5913,Eikangervåg,56 35 31 07,Arve Haugen,41 55 54 51,arvehau@online.no,man-fre 07:30 - 15:30
Høylandet Auto as - Brønnøysund,Salhussletta 4,8900,Brønnøysund,,8900,Brønnøysund,75 00 95 00,Charles Lorentsen,41 41 54 10,cl@hoylandet-auto.no,man-fre 07:30 - 16:00
Høylandet Auto as - Rørvik,Nyvegen 32,7900,Rørvik,,7900,Rørvik,74 39 00 66,Frode Løvseth,40 64 31 54,frode.loevseth@hoylandet-auto.no,man-fre 07:30 - 16:00
Høyveg Mek. Verksted,Høyveg Industri område,2662,Dovre,,2662,Dovre,61 24 04 33,Jan Erik Ulheim,91 10 89 24,hoyveg@hoyveg.no,man-fre 08:00 - 16:00
Ihle Bilverksted as,Ihlevegen 309,2846,Bøverbru,Lyngås,2846,Bøverbru,61 19 75 60,Geir Henning Nøkleby,97 66 48 58,ihlebil@online.no,man-tor 07:30 - 15:30 fre 14:00
Imaas Bil as,Jordbruksveien 44,8041,Bodø,Serviceboks ,8041,Bodø,75 54 44 90,Ole Martin Imingen,91 75 41 54,omi@imaas-bil.no,man-fre 08:00 - 16:00
Iveland Bilverksted as,"Solbergveien, Birketveit",4724,Iveland,,4724,Iveland,37 96 22 32,Dirk van Meurs ,95 91 14 85,post@ivelandbilverksted.no,man-fre 07:30 - 17:00 tirs 19:00
Jan Haukali Auto AS,Fabrikkveien 8,4323,Sandnes,,4323,Sandnes,51 67 34 56,Geir Henning Njærheim,90 63 49 48,kjanh@broadpark.no ,man-fre 07:30 - 15:30
Jessheim Bilverksted AS,Elektrovegen 1,2050,Jessheim,,2050,Jessheim,63 98 00 90,Jørn Otto Unsgård Wrangell,41 02 08 00,post@jbvas.no,man-fre 07:30 - 16:00
Jørn's Bil og Brems as,Østre Aker vei 68,0.0581,Oslo,,0,Oslo,22 64 88 50,Jørn Torgeir Flatha,979 62 082,post@jornsbil-bremseservice.com,man-fre 07:00 - 16:00
Karmøy Bilservice as,Stongsvingen 70,4270,Åkrehamn,,4270,Åkrehamn,52 82 41 41,Gunnar Sandhåland,40 40 19 64,post@karmoybilservice.no,man-fre 07:30 - 15:30
Karosserifabrikken a/s,Nesttunveien 116,5221,Nesttun,Postboks 81 Nesttun,5852,Bergen,55 13 03 10,Tom Birger Rød,90 72 07 76,post@karosserifab.no,man-fre 07:30 - 16:30
Killi Bilsenter as,Skansen 4 A,2670,Otta,Postboks 64,2670,Otta,61 23 62 67,Floyd Bilben,90 10 16 21,floyd@killi.no,man-fre 07:30 - 16:00
Kjøraas Bil AS,Bromsv 7,3183,Horten,,,,33 04 93 04,Bjørn Kjøraas,95 82 17 00,bjoern.kjoeraas@bos.no,man-fre 08:00 - 16:00
Klepp Auto Bilverksted AS,Kjøpmannsbrotet 9,4352,Kleppe,,4352,Kleppe,51 78 60 60,Vidar Nese,90 51 37 85,vidar@kleppauto.no,man-fre 07:00 - 16:30
Kongsbil as,Industriveien 23,2212,Kongsvinger,,,,91 69 28 60,Kjetil Hansen,91 69 28 60,kjetil@kongsbil.no,man-fre 07:30-17:00
Kvam Mek Verksted as - Kvam,Industrivegen,2642,Kvam,,2642,Kvam,61 29 48 40,Einar Krok ,90 83 10 37,verksted@kvammek.no,man-fre 07:30 - 16:00
Kvam Mek Verksted as - Lom,,2686,Lom,,2686,Lom,61 21 12 81,Jan Randen,,jan@kvammek.no,man-fre 08:00 - 16:00
Kvikkservice AS,Eidemsbakken 1,6440,Elnesvågen,,6440,Elnesvågen,71 26 32 50,Leif Kåre Vikan,90 76 54 92,Ksbilsalg@online.no,man-fre 08:00 - 16:00
Larsnes Auto AS,,6084,Larsnes,,6084,Larsnes,70 02 68 00,Øyvind Petersen,957 55 564,verksted.larsnesauto@tussa.com,man-fre 08:00 - 16:00
Leikanger Auto AS,Hanahaug 10,6863,Leikanger,,6863,Leikanger,57 65 31 00,Frank Ivar Borlaug,90 91 65 85,post@leikangerauto.no,man-fre 08:00 - 16:00
Leiv Austrheim AS,Nordstrandv 40,6823,Sandane,,6823,Sandane,57 86 58 60,Leiv Arne Austrheim,90 60 41 77,post@leivaustrheim.no,man-fre 08:00 - 16:00
Levanger Bilelektro as,Havnegaten 10B,7600,Levanger,,7600,Levanger,74 08 97 80,Ragnar Hallem,,post@levangerbilelektro.no,man-fre 08:00 - 16:00
Lillehammer Bil AS,Gudbrandsdalsvn 187,2619,Lillehammer,,,,61 26 86 00,Kjell Åge Skyttermoen,92 86 33 76,post@lillehammerbil.no,man-fre 07:30 - 16:00
Lillestrøm Bilservice,Odalsgata 29,2000,Lillestrøm,,2000,Lillestrøm,63 81 17 00 ,Jahanbahsh Rah,97 69 81 78,post@lillestrom-bilservice.no,man-fre 07:30 - 18:00 lør 10:00 - 14:00
Lista Autoteknikk A/S,Lista fly- og næringspark,4560,Vanse,,4560,Vanse,38 39 18 88,Jan Pedersen,95 13 05 41,jp@eserv.no,man-fre 07:30 - 15:30
Loko Bil,Skolmar 30,3232,Sandefjord,Postboks 1256,3205,Sandefjord,33 47 92 40,Kåre Olafsen,90 55 71 83,ka.ol@online.no,man-fre 08:30 - 16:00
Lyngseidet Bilverksted AS,Skoleveien 1,9060,Lyngseidet,,9060,Lyngseidet,77 71 01 55,Jørn Fyhn,90 53 57 62,jfyhn@online.no,man-fre 08:00 - 16:00
Lørenskog Bil & Caravan Service AS,Solheimveien 54,1473,Lørenskog,,1473,Lørenskog,67 90 25 62,Edgar Bakken,90 01 92 35,post@lbcs.no,man-tor 07:00 - 17:00  fre 16:00
Madland Bilverksted AS,Finnestadgeilen 20,4029,Stavanger,,4029,Stavanger,   ,Roar Njærheim,45 48 05 58,data@oyjord.no,man-fre 07:00 - 16:00
Manndalen Bil,Garver Hansens veg 3,9144,Samuelsberg ,,9144,Samuelsberg ,77 71 63 89,Mikal Karlsen ,91 60 18 55,bil@itroms.no,man-fre 08:00 - 16:00
Mariendal Bil AS,Åshøgdveien 468,2360,Rudshøgda,,2360,Rudshøgda,62 36 41 35,Odd Arne Grorud,91 81 10 44,mariendal-bil@outlook.com,man-fre 08:00 - 16:00
Maskin & Bil Hovland as,Sekseflaten,5773,Hovland,Sekseflaten,5773,Hovland,53 66 10 00,Bjørn K Svoldal,,bjorn@maskinogbil.net ,
Maskinagentur as,Vestre Rosten 83,7075,Tiller,Postboks 6280 Sluppen,7075,Tiller,72 89 72 89,Knut Brandrud,91 74 28 01,maskinagentur@maskinagentur.no,man-fre 07:30 - 16:30
Meland Auto AS,Mjåtveitflaten 17A,5918,Frekhaug,,5918,Frekhaug,56 17 09 76,Helge Meland,95 70 85 11,helge@melandauto.no,man-fre 07:00 - 16:30
Melhus Autoservice as,Vassfjellveien 3,7228, Kvål ,,7228, Kvål ,72 85 15 18,Anders Bolland,41 93 44 01,post@melhusautoservice.no,man-fre 08:00 - 16:00 
MJA Bilservice AS,Nye Tegleverksvei 42,4632,Kristiansand,"Postboks 1597, Lundsiden",4632,Kristiansand,38 09 79 70,Svein Ekre,90 50 87 02,svein@mja.no,man-fre 07:30 - 15:30
Mohagen Bilservice as,Mohagalia 4,2770,Jaren,,,,61 39 50 00 ,Andreas Mordt Mangerud,91 74 37 14,andreas@mohagenbil.no,man-fre 08:00 - 17:00
Mosfjell Bil AS,Mosfjell,4760,Birkeland,,4760,Birkeland,952 33 775 ,Jan Ivar Mosfjell,95 23 37 75,post@mosfjellbil.no,man-fre 08:00 - 16:00
Moster Bil AS,,5440,Mosterhamn,Postboks 47,5440,Mosterhamn,53 42 63 17,Jan Tore Angelvik,95 22 05 67,post.mosterbil@haugnett.no,man-fre 08:00 - 17:00
Motorpartner Namsos AS,Navarv 5A,7820,Spillum,,7820,Spillum,74 22 66 80,Ørnulf Brecke,91 58 55 93,ornulf.brecke@moller.no,man-fre 08:00 - 16:00
Mæland Auto as,Årdalstunet,4137,Årdal,,,,,Kent Thomas Mæland,40 62 30 15,Kent.thomas@ryfylkenett.no,man-fre 07:00 - 15:00
Nakkens Bilverksted as,Vegsundbakken 22,6020,Ålesund,Skråvika 40,6013,Ålesund,70 14 24 03,Arild Pettersen,98 87 38 34,arpett3@online.no,man-tor 07:30 - 16:30 fre 15:30
Nilsen Bil AS,Ærfuglveien 2,9015,Tromsø,Postboks 2704,9273,Tromsø,77 60 84 20,Ronny Nordheim,45 26 80 72,post@nilsenbil.no,man-fre 07:30 - 16:30
Nordli Bil & Karosseri as,Mohagalia 8,2770,Jaren,,2770,Jaren,61 33 88 77,Finn Nordli,91 53 02 00,finn@nordlibil.com,man-fre 07:15 - 17:00 lør 09:00 - 13:00
NTB Autosenteret AS ,Vikhammerløkka,7560,Malvik,Vikhammerløkka 1,7560,Vikhammer,73 97 43 00,Aleksander Nilsen,91 62 00 00,aleksander@autosenteret.com,man-fre 07:30 - 15:30
Nye Stangebrua Bil og Service DA,Enerhaugvegen 24,2321,Hamar,,2321,Hamar,62 52 19 60,Roy Helseth,90 16 45 86,verksted@nsbs.no,man-fre 08:00 - 16:00 
Oltedal Bilverksted AS,Bygdaveien 116,4333,Oltedal,,4333,Oltedal,51 61 66 20,Tor Einar Jensen,95 04 30 52,tej@oltedalbilverksted.no,man-fre 07:00 - 17:00
Planethifi AS,Hollermannsveien 70,7031,Trondheim,,,,73 93 83 00,Håvard Støen,92 05 14 63,post@planethifi.no,man-fre 08:00 - 18:00
PS - Bil AS,Øyane 4,6770,Nordfjordeid,Postboks  241,6772,Nordfjordeid,57 86 12 11,Yngve Kjørstad,40 23 04 68,post@psbil.no,man-fre 08:00 - 16:00
Radøy Auto as,Radøyvegen 1607,5936,Manger,,5936,Manger,56 34 94 40,Svein Ove Bauge,92 44 40 35,liv-marit@radoy-auto.no,man-tor 07:30 - 16:00 fre 14:00
Rakkestad Autosenter as,Industriv. 9,1890,Rakkestad,,1890,Rakkestad,69 22 28 20,Jon Renstrøm,93 04 87 06,rakkestadautosenter@hotmail.com,man-fre 08:00 - 16:00
Randaberg Bil AS,Bøveistubben 5,4070,Randaberg,,4070,Randaberg,   ,Roar Njærheim,45 48 05 58,roar@06215.no,man-fre 07:30 - 16:00
Rena Bilberging,Hovdmovn 4,2450,Rena,,2450,Rena,62 44 44 50,Stein Håvard Andraa,90 50 70 53,stein@towman.no,man-fre 08:00 - 16:30
